Metric,Original,Smote,CtGan,AdaSyn,TabDiff
Total Accuracy,0.7527,0.6593,0.6099,0.6593,0.6429
Accuracy_class 0,0.1667,0.3333,0.1667,0.6667,0.6667
Accuracy_class 1,0.0833,0.25,0.125,0.1667,0.2083
Accuracy_class 2,0.0,0.4,0.4,0.3,0.5
Accuracy_class 4,0.0,0.2,0.4,0.0,0.0
F1-Score,0.6798,0.6845,0.6387,0.672,0.6673
G-mean,0.2215,0.5621,0.5242,0.4799,0.5198
AUC,0.7712,0.7553,0.6984,0.7694,0.7465
