Metric,Original,Smote,CtGan,AdaSyn,TabDiff
Total Accuracy,0.7582,0.7143,0.7033,0.7198,0.6703
Accuracy_class 0,0.1667,0.5,0.6667,0.5,0.5
Accuracy_class 1,0.0417,0.4583,0.2083,0.25,0.2917
Accuracy_class 2,0.0,0.3,0.0,0.2,0.7
Accuracy_class 4,0.0,0.2,0.2,0.2,0.2
F1-Score,0.6701,0.7269,0.6904,0.7152,0.6985
G-mean,0.1814,0.607,0.4649,0.5467,0.6376
AUC,0.7058,0.7919,0.6956,0.7899,0.8047
