Metric,Original,Smote,CtGan,AdaSyn,TabDiff
Total Accuracy,0.7637,0.7363,0.7582,0.7473,0.7473
Accuracy_class 0,0.0,0.5,0.6667,0.8333,0.8333
Accuracy_class 1,0.125,0.4583,0.2083,0.2083,0.4167
Accuracy_class 2,0.0,0.1,0.0,0.4,0.6
Accuracy_class 4,0.0,0.2,0.2,0.2,0.4
F1-Score,0.6818,0.7337,0.7188,0.7344,0.7598
G-mean,0.1426,0.556,0.4581,0.6175,0.7314
AUC,0.8346,0.832,0.7987,0.8147,0.8179
