Metric,Original,Smote,CtGan,AdaSyn,TabDiff
Total Accuracy,0.7363,0.7143,0.6484,0.6923,0.6813
Accuracy_class 0,0.3333,0.5,0.1667,0.3333,0.5
Accuracy_class 1,0.125,0.5417,0.5,0.625,0.5417
Accuracy_class 2,0.1,0.5,0.4,0.3,0.6
Accuracy_class 4,0.0,0.2,0.2,0.2,0.6
F1-Score,0.6967,0.7321,0.6743,0.7138,0.7166
G-mean,0.3606,0.6525,0.5558,0.6033,0.7314
AUC,0.7601,0.7698,0.7093,0.8065,0.7929
