Model,Recall,Specificity,F1-Weighted,AUC,Accuracy
LR,0.6593406593406593,0.867443985516088,0.6720406405189014,0.7694327916044923,0.6593406593406593
DT,0.6923076923076923,0.8930557185945665,0.7137945067131594,0.8064869082640712,0.6923076923076923
RF,0.7472527472527473,0.8770670841775704,0.7343746762559448,0.8146590843095237,0.7472527472527473
XGB,0.7967032967032966,0.8873434670520334,0.7718801345174972,0.8469539263749821,0.7967032967032966
SVM,0.7197802197802198,0.8710233156117235,0.7151535416620513,0.7898530460072175,0.7197802197802198
