Model,Macro_Recall,Macro_F1,Macro_G_mean,Macro_AUC
LR,0.38579075425790754,0.3321080368906456,0.4799470868120041,0.803818979913904
DT,0.4449513381995134,0.415818842042738,0.6032712414008923,0.7304019844709208
RF,0.5049756690997568,0.46782217403090265,0.6175119655395347,0.8540428834109275
XGB,0.4401946472019464,0.4290642690642691,0.5029136414762642,0.8559408775185193
SVM,0.40372262773722634,0.3920143154078172,0.5466616111946057,0.8108183271768986
