Model,Macro_Recall,Macro_F1,Macro_G_mean,Macro_AUC
LR,0.42536496350364966,0.355118700802593,0.5198115679642467,0.7424946062650818
DT,0.5928588807785888,0.4785346508032533,0.731418234913584,0.7907547341653812
RF,0.614963503649635,0.539952787346915,0.731399812769576,0.8283506843750418
XGB,0.517676399026764,0.4615067972962709,0.6582894280427776,0.8224539420349142
SVM,0.49015815085158154,0.405546174599883,0.6376112630546232,0.81206390278642
