Model,Recall,Specificity,F1-Weighted,AUC,Accuracy
LR,0.6428571428571429,0.8709001317012499,0.6673014021738023,0.7465225888238715,0.6428571428571429
DT,0.6813186813186813,0.9079170904546985,0.7165984516256748,0.7928628663029622,0.6813186813186813
RF,0.7472527472527473,0.9031799443671584,0.7598319008008826,0.8178803970897757,0.7472527472527473
XGB,0.7417582417582418,0.9019296380075333,0.7521025340574213,0.8190041557776297,0.7417582417582418
SVM,0.6703296703296703,0.8929973852776125,0.6984531707768828,0.8047297569737297,0.6703296703296703
