Model,Recall,Specificity,F1-Weighted,AUC,Accuracy
LR,0.6538461538461539,0.8699813970472652,0.6711243127517672,0.755246697935692,0.6538461538461539
DT,0.6483516483516484,0.9141783431073582,0.6972167931920255,0.8137402980237729,0.6483516483516484
RF,0.7747252747252747,0.9286072153103258,0.792980701914142,0.872404687540176,0.7747252747252747
SVM,0.7032967032967034,0.9036377405222298,0.7281741266914036,0.8372339869121364,0.7032967032967034
