Model,Recall,Specificity,F1-Weighted,AUC,Accuracy
LR,0.6593406593406593,0.8800991978984649,0.6844609843136625,0.7553310467953187,0.6593406593406593
DT,0.7142857142857143,0.8952057265046044,0.7320908327552846,0.7697887099577213,0.7142857142857143
RF,0.7362637362637363,0.874044029075475,0.7336586808636497,0.8320053893021755,0.7362637362637363
XGB,0.7582417582417582,0.8787918038197697,0.7456375557459531,0.8312453609465742,0.7582417582417582
SVM,0.7142857142857143,0.8855713199411527,0.7268844972397802,0.7918516176566339,0.7142857142857143
