Model,Macro_Recall,Macro_F1,Macro_G_mean,Macro_AUC
LR,0.3928710462287105,0.3570062404535729,0.5621273422551163,0.7885369320670128
DT,0.5059975669099757,0.4602990033222592,0.6524714123067514,0.718853934606715
RF,0.4239294403892944,0.43887163561076603,0.5560441752452557,0.8569440446260295
XGB,0.41664233576642334,0.40788965797454757,0.5006193217916939,0.8421113485990365
SVM,0.4551703163017032,0.43862781687420976,0.6070331356453383,0.8194906812757722
